000 | C -1 | 8.17579891564371
001 | C#-1 | 8.66195721802725
002 | D -1 | 9.17702399741899
003 | D#-1 | 9.72271824131503
004 | E -1 | 10.3008611535272
005 | F -1 | 10.9133822322814
006 | F#-1 | 11.5623257097386
007 | G -1 | 12.2498573744297
008 | G#-1 | 12.9782717993733
009 | A -1 | 13.7500000000000
010 | A#-1 | 14.5676175474403
011 | B -1 | 15.4338531642539
012 | C  0 | 16.3515978312874
013 | C# 0 | 17.3239144360545
014 | D  0 | 18.3540479948380
015 | D# 0 | 19.4454364826301
016 | E  0 | 20.6017223070544
017 | F  0 | 21.8267644645627
018 | F# 0 | 23.1246514194771
019 | G  0 | 24.4997147488593
020 | G# 0 | 25.9565435987466
021 | A  0 | 27.5000000000000
022 | A# 0 | 29.1352350948806
023 | B  0 | 30.8677063285078
024 | C  1 | 32.7031956625748
025 | C# 1 | 34.6478288721090
026 | D  1 | 36.7080959896759
027 | D# 1 | 38.8908729652601
028 | E  1 | 41.2034446141087
029 | F  1 | 43.6535289291255
030 | F# 1 | 46.2493028389543
031 | G  1 | 48.9994294977187
032 | G# 1 | 51.9130871974931
033 | A  1 | 55.0000000000000
034 | A# 1 | 58.2704701897612
035 | B  1 | 61.7354126570155
036 | C  2 | 65.4063913251497
037 | C# 2 | 69.2956577442180
038 | D  2 | 73.4161919793519
039 | D# 2 | 77.7817459305202
040 | E  2 | 82.4068892282175
041 | F  2 | 87.3070578582510
042 | F# 2 | 92.4986056779086
043 | G  2 | 97.9988589954373
044 | G# 2 | 103.826174394986
045 | A  2 | 110.000000000000
046 | A# 2 | 116.540940379522
047 | B  2 | 123.470825314031
048 | C  3 | 130.812782650299
049 | C# 3 | 138.591315488436
050 | D  3 | 146.832383958704
051 | D# 3 | 155.563491861040
052 | E  3 | 164.813778456435
053 | F  3 | 174.614115716502
054 | F# 3 | 184.997211355817
055 | G  3 | 195.997717990875
056 | G# 3 | 207.652348789973
057 | A  3 | 220.000000000000
058 | A# 3 | 233.081880759045
059 | B  3 | 246.941650628062
060 | C  4 | 261.625565300599
061 | C# 4 | 277.182630976872
062 | D  4 | 293.664767917408
063 | D# 4 | 311.126983722081
064 | E  4 | 329.627556912870
065 | F  4 | 349.228231433004
066 | F# 4 | 369.994422711634
067 | G  4 | 391.995435981749
068 | G# 4 | 415.304697579945
069 | A  4 | 440.000000000000
070 | A# 4 | 466.163761518090
071 | B  4 | 493.883301256124
072 | C  5 | 523.251130601197
073 | C# 5 | 554.365261953744
074 | D  5 | 587.329535834815
075 | D# 5 | 622.253967444162
076 | E  5 | 659.255113825740
077 | F  5 | 698.456462866008
078 | F# 5 | 739.988845423269
079 | G  5 | 783.990871963499
080 | G# 5 | 830.609395159890
081 | A  5 | 880.000000000000
082 | A# 5 | 932.327523036180
083 | B  5 | 987.766602512248
084 | C  6 | 1046.50226120239
085 | C# 6 | 1108.73052390749
086 | D  6 | 1174.65907166963
087 | D# 6 | 1244.50793488832
088 | E  6 | 1318.51022765148
089 | F  6 | 1396.91292573202
090 | F# 6 | 1479.97769084654
091 | G  6 | 1567.98174392700
092 | G# 6 | 1661.21879031978
093 | A  6 | 1760.00000000000
094 | A# 6 | 1864.65504607236
095 | B  6 | 1975.53320502450
096 | C  7 | 2093.00452240479
097 | C# 7 | 2217.46104781498
098 | D  7 | 2349.31814333926
099 | D# 7 | 2489.01586977665
100 | E  7 | 2637.02045530296
101 | F  7 | 2793.82585146403
102 | F# 7 | 2959.95538169308
103 | G  7 | 3135.96348785399
104 | G# 7 | 3322.43758063956
105 | A  7 | 3520.00000000000
106 | A# 7 | 3729.31009214472
107 | B  7 | 3951.06641004899
108 | C  8 | 4186.00904480958
109 | C# 8 | 4434.92209562995
110 | D  8 | 4698.63628667852
111 | D# 8 | 4978.03173955329
112 | E  8 | 5274.04091060592
113 | F  8 | 5587.65170292806
114 | F# 8 | 5919.91076338615
115 | G  8 | 6271.92697570799
116 | G# 8 | 6644.87516127912
117 | A  8 | 7040.00000000000
118 | A# 8 | 7458.62018428944
119 | B  8 | 7902.13282009799
120 | C  9 | 8372.01808961916
121 | C# 9 | 8869.84419125991
122 | D  9 | 9397.27257335704
123 | D# 9 | 9956.06347910659
124 | E  9 | 10548.0818212118
125 | F  9 | 11175.3034058561
126 | F# 9 | 11839.8215267723
127 | G  9 | 12543.8539514160
